HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD
강기윤,姜起潤,국민의힘,경남 창원시성산구,2100000000001,101210,160124
강대식,姜大植,국민의힘,대구 동구을,2100000000002,101210,30005
강득구,姜得求,더불어민주당,경기 안양시만안구,2100000000003,101182,80017
강민국,姜旻局,국민의힘,경남 진주시을,2100000000004,101210,160008
강민정,姜旼姃,더불어민주당,비례대표,2100000000005,101182,240001
강병원,姜炳遠,더불어민주당,서울 은평구을,2100000000006,101182,10033
강선우,姜仙祐,더불어민주당,서울 강서구갑,2100000000007,101182,10046
강은미,姜恩美,정의당,비례대표,2100000000008,101180,240001
강준현,康準鉉,더불어민주당,세종특별자치시을,2100000000009,101182,210026
강훈식,姜勳植,더불어민주당,충남 아산시을,2100000000010,101182,120075
고민정,高旼廷,더불어민주당,서울 광진구을,2100000000011,101182,10010
고영인,高永寅,더불어민주당,경기 안산시단원구갑,2100000000012,101182,80039
고용진,高榕진,더불어민주당,서울 노원구갑,2100000000013,101182,10028
곽상도,郭尙道,무소속,대구 중구남구,2100000000014,101030,30001
구자근,具滋根,국민의힘,경북 구미시갑,2100000000015,101210,150010
권명호,權明浩,국민의힘,울산 동구,2100000000016,101210,70005
권성동,權性東,국민의힘,강원 강릉시,2100000000017,101210,100005
권영세,權寧世,국민의힘,서울 용산구,2100000000018,101210,10005
권은희,權垠希,국민의힘,비례대표,2100000000019,101210,240001
권인숙,權仁淑,더불어민주당,비례대표,2100000000020,101182,240001
권칠승,權七勝,더불어민주당,경기 화성시병,2100000000021,101182,80187
기동민,奇東旻,더불어민주당,서울 성북구을,2100000000022,101182,10020
김경만,金京萬,더불어민주당,비례대표,2100000000023,101182,240001
김경협,金炅俠,더불어민주당,경기 부천시갑,2100000000024,101182,210027
김교흥,金敎興,더불어민주당,인천 서구갑,2100000000025,101182,40024
김기현,金起炫,국민의힘,울산 남구을,2100000000026,101210,70004
김남국,金南局,무소속,경기 안산시단원구을,2100000000027,101030,80040
김도읍,金度邑,국민의힘,부산 북구강서구을,2100000000028,101210,20015
김두관,金斗官,더불어민주당,경남 양산시을,2100000000029,101182,160128
