"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"2100000000001","국민의힘",167,59,30,49,0.574543714523315,0.708196721311475,0.64843738079071,0.575310528278351,0,0,0
"2100000000002","국민의힘",259,67,25,67,0.623289287090302,0.779904306220096,0.647252678871155,0.205548092722893,0,0,0
"2100000000003","더불어민주당",522,7,0,0,0.933631777763367,0.986767485822306,-0.390132367610931,0.641388714313507,0,0,0
"2100000000004","국민의힘",187,53,22,74,0.60166323184967,0.776785714285714,0.722683012485504,-0.12450535595417,0,0,0
"2100000000005","더불어민주당",503,16,0,4,0.890621244907379,0.969407265774379,-0.076169840991497,-0.413134425878525,0,0,0
"2100000000006","더불어민주당",512,1,0,0,0.988683104515076,0.998050682261209,-0.569712817668915,-0.0714793875813484,0,0,0
"2100000000007","더불어민주당",433,3,0,0,0.972007155418396,0.993119266055046,-0.617641270160675,0.553503274917603,0,0,0
"2100000000008","정의당",436,23,1,8,0.865833282470703,0.948717948717949,0.0294239316135645,-0.83520919084549,0,0,0
"2100000000009","더불어민주당",519,1,0,0,0.988711416721344,0.998076923076923,-0.552948176860809,0.0511900410056114,0,0,0
"2100000000010","더불어민주당",461,3,0,0,0.965779066085815,0.993534482758621,-0.628296434879303,0.445220708847046,0,0,0
"2100000000011","더불어민주당",519,7,0,2,0.940588712692261,0.986742424242424,-0.511951327323914,-0.749282717704773,0,0,0
"2100000000012","더불어민주당",492,4,0,0,0.956183314323425,0.991935483870968,-0.49538242816925,0.0501792132854462,0,0,0
"2100000000013","더불어민주당",500,3,0,0,0.964704573154449,0.99403578528827,-0.511385262012482,0.113490745425224,0,0,0
"2100000000014","무소속",202,49,25,85,0.637520432472229,0.795013850415512,0.671815514564514,0.112873807549477,0,0,0
"2100000000015","국민의힘",370,58,10,48,0.718071579933167,0.860082304526749,0.496962279081345,0.609855771064758,0,0,0
"2100000000016","국민의힘",258,81,42,102,0.607373237609863,0.745341614906832,0.671928465366364,-0.740616023540497,0,0,0
"2100000000017","국민의힘",205,51,33,93,0.629167675971985,0.780104712041885,0.701195538043976,0.635945200920105,0,0,0
"2100000000018","국민의힘",262,10,1,2,0.880142331123352,0.96,0.00300444895401597,-0.00574789941310883,0,0,0
"2100000000019","국민의힘",127,18,5,14,0.683737218379974,0.859756097560976,0.417336851358414,0.726092040538788,0,0,0
"2100000000020","더불어민주당",486,6,0,0,0.966905057430267,0.98780487804878,-0.708843767642975,-0.370319813489914,0,0,0
"2100000000021","더불어민주당",293,1,0,0,0.980151057243347,0.996598639455782,-0.809043884277344,0.429013669490814,0,0,0
"2100000000022","더불어민주당",526,6,0,0,0.949865102767944,0.988721804511278,-0.459420472383499,-0.420115441083908,0,0,0
"2100000000023","더불어민주당",520,7,0,0,0.938883662223816,0.986717267552182,-0.344193935394287,0.562059104442596,0,0,0
"2100000000024","더불어민주당",482,9,0,1,0.93945437669754,0.981707317073171,-0.702131271362305,0.712047576904297,0,0,0
"2100000000025","더불어민주당",508,1,0,0,0.990037798881531,0.99803536345776,-0.567582130432129,-0.0919957533478737,0,0,0
"2100000000026","국민의힘",455,14,0,2,0.895370066165924,0.970276008492569,0.0302236843854189,0.167076393961906,0,0,0
"2100000000027","무소속",475,2,0,0,0.974613130092621,0.9958071278826,-0.526266992092133,0.262055724859238,0,0,0
"2100000000028","국민의힘",416,51,2,15,0.747882008552551,0.890495867768595,0.384465485811234,-0.172077015042305,0,0,0
"2100000000029","더불어민주당",369,1,0,0,0.978671908378601,0.997297297297297,-0.515067100524902,0.160377815365791,0,0,0
"2100000000030","국민의힘",236,80,43,106,0.589243590831757,0.735483870967742,0.723522126674652,0.506125688552856,0,0,0
"2100000000031","더불어민주당",520,12,1,1,0.910593450069427,0.975655430711611,-0.376947999000549,-0.648539185523987,0,0,0
"2100000000032","더불어민주당",467,3,0,0,0.963834941387177,0.993617021276596,-0.514989912509918,0.496395111083984,0,0,0
