,HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD,VOTE_DATE,BILL_NO,BILL_NAME,BILL_ID,LAW_TITLE,CURR_COMMITTEE,RESULT_VOTE_MOD,DEPT_CD,CURR_COMMITTEE_ID,DISP_ORDER,BILL_URL,BILL_NAME_URL,SESSION_CD,CURRENTS_CD,AGE,MONA_CD
0,이종성,李鍾成,국민의힘,비례대표,2100000000214,101210,240001,20210521 113528,2105806,수산업법 일부개정법률안,ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,수산업법,농림축산식품해양수산위원회,찬성,9771242,9700408,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,387,2,21,FDC3144T
1,소병철,蘇秉哲,더불어민주당,전남 순천시광양시곡성군구례군갑,2100000000126,101182,210040,20210521 113528,2105806,수산업법 일부개정법률안,ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,수산업법,농림축산식품해양수산위원회,찬성,9771217,9700408,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,387,2,21,17M85910
2,추경호,秋慶鎬,국민의힘,대구 달성군,2100000000278,101210,030031,20210521 113528,2105806,수산업법 일부개정법률안,ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,수산업법,농림축산식품해양수산위원회,찬성,9770962,9700408,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,387,2,21,G152611B
3,김정호,金禎鎬,더불어민주당,경남 김해시을,2100000000062,101182,160017,20210521 113528,2105806,수산업법 일부개정법률안,ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,수산업법,농림축산식품해양수산위원회,불참,9771090,9700408,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,387,2,21,9LD2641Q
4,박재호,朴在昊,더불어민주당,부산 남구을,2100000000103,101182,020012,20210521 113528,2105806,수산업법 일부개정법률안,ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,수산업법,농림축산식품해양수산위원회,찬성,9770950,9700408,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,387,2,21,QUO78839
5,박찬대,朴贊大,더불어민주당,인천 연수구갑,2100000000107,101182,040028,20210521 113528,2105806,수산업법 일부개정법률안,ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,수산업법,농림축산식품해양수산위원회,찬성,9770963,9700408,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,387,2,21,BT62420K
6,고용진,高榕진,더불어민주당,서울 노원구갑,2100000000013,101182,010028,20210521 113528,2105806,수산업법 일부개정법률안,ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,수산업법,농림축산식품해양수산위원회,불참,9770931,9700408,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,387,2,21,6V37131U
7,맹성규,孟聖奎,더불어민주당,인천 남동구갑,2100000000082,101182,040010,20210521 113528,2105806,수산업법 일부개정법률안,ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,수산업법,농림축산식품해양수산위원회,찬성,9771091,9700408,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,387,2,21,FJK3396E
8,김정재,金汀才,국민의힘,경북 포항시북구,2100000000061,101210,150001,20210521 113528,2105806,수산업법 일부개정법률안,ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,수산업법,농림축산식품해양수산위원회,찬성,9771023,9700408,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,387,2,21,E1J8836Y
9,송갑석,宋甲錫,더불어민주당,광주 서구갑,2100000000128,101182,050003,20210521 113528,2105806,수산업법 일부개정법률안,ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,수산업법,농림축산식품해양수산위원회,찬성,9771093,9700408,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_I2M0I1O1Y2J7T1U1G1H5N0M6K1O6V0,387,2,21,RD42006Y
