POLY_NM,MEMBER_NO
국민의힘,2100000000001
국민의힘,2100000000002
더불어민주당,2100000000003
국민의힘,2100000000004
더불어민주당,2100000000005
더불어민주당,2100000000006
더불어민주당,2100000000007
정의당,2100000000008
더불어민주당,2100000000009
더불어민주당,2100000000010
더불어민주당,2100000000011
더불어민주당,2100000000012
더불어민주당,2100000000013
국민의힘,2100000000015
국민의힘,2100000000016
국민의힘,2100000000017
국민의힘,2100000000018
국민의힘,2100000000019
더불어민주당,2100000000020
더불어민주당,2100000000021
더불어민주당,2100000000022
더불어민주당,2100000000023
더불어민주당,2100000000024
더불어민주당,2100000000025
국민의힘,2100000000026
무소속,2100000000027
국민의힘,2100000000028
더불어민주당,2100000000029
국민의힘,2100000000030
더불어민주당,2100000000031
더불어민주당,2100000000032
더불어민주당,2100000000033
더불어민주당,2100000000034
더불어민주당,2100000000035
국민의힘,2100000000036
더불어민주당,2100000000037
국민의힘,2100000000038
더불어민주당,2100000000039
국민의힘,2100000000040
국민의힘,2100000000041
국민의힘,2100000000042
더불어민주당,2100000000043
더불어민주당,2100000000044
더불어민주당,2100000000045
더불어민주당,2100000000046
국민의힘,2100000000047
더불어민주당,2100000000048
더불어민주당,2100000000049
국민의힘,2100000000050
더불어민주당,2100000000051
더불어민주당,2100000000052
더불어민주당,2100000000053
국민의힘,2100000000054
더불어민주당,2100000000055
국민의힘,2100000000056
국민의힘,2100000000057
더불어민주당,2100000000058
더불어민주당,2100000000059
국민의힘,2100000000061
더불어민주당,2100000000062
무소속,2100000000063
더불어민주당,2100000000064
무소속,2100000000066
더불어민주당,2100000000067
더불어민주당,2100000000068
국민의힘,2100000000069
더불어민주당,2100000000071
국민의힘,2100000000072
더불어민주당,2100000000073
더불어민주당,2100000000074
국민의힘,2100000000075
국민의힘,2100000000076
더불어민주당,2100000000077
더불어민주당,2100000000078
더불어민주당,2100000000079
국민의힘,2100000000080
정의당,2100000000081
더불어민주당,2100000000082
더불어민주당,2100000000083
더불어민주당,2100000000084
더불어민주당,2100000000085
더불어민주당,2100000000086
더불어민주당,2100000000087
더불어민주당,2100000000088
국민의힘,2100000000089
국민의힘,2100000000090
국민의힘,2100000000091
더불어민주당,2100000000092
더불어민주당,2100000000093
더불어민주당,2100000000094
국민의힘,2100000000095
더불어민주당,2100000000096
국민의힘,2100000000097
국민의힘,2100000000098
더불어민주당,2100000000099
무소속,2100000000101
더불어민주당,2100000000102
더불어민주당,2100000000103
더불어민주당,2100000000104
더불어민주당,2100000000105
국민의힘,2100000000106
더불어민주당,2100000000107
국민의힘,2100000000108
더불어민주당,2100000000109
국민의힘,2100000000110
정의당,2100000000111
국민의힘,2100000000112
국민의힘,2100000000113
더불어민주당,2100000000114
더불어민주당,2100000000115
더불어민주당,2100000000116
국민의힘,2100000000117
국민의힘,2100000000118
더불어민주당,2100000000119
