"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"2100000000001","국민의힘",151,6,0,0,0.85872209072113,0.961783439490446,0.630210816860199,0.418772757053375,0,0,0
"2100000000002","국민의힘",237,22,3,12,0.7787024974823,0.908759124087591,0.93136465549469,-0.179764807224274,0,0,0
"2100000000003","더불어민주당",213,12,2,8,0.800117492675781,0.940425531914894,-0.0258534215390682,0.631025791168213,0,0,0
"2100000000004","국민의힘",178,14,0,0,0.783132791519165,0.927083333333333,0.785777807235718,-0.100732773542404,0,0,0
"2100000000005","더불어민주당",155,40,19,58,0.620241284370422,0.783088235294118,-0.991484940052032,-0.130222260951996,0,0,0
"2100000000006","더불어민주당",219,13,1,1,0.840355694293976,0.94017094017094,-0.00350391096435487,-0.0335520766675472,0,0,0
"2100000000007","더불어민주당",154,10,1,5,0.823513269424438,0.935294117647059,-0.251440644264221,0.294986099004745,0,0,0
"2100000000008","정의당",240,25,6,52,0.722890019416809,0.904024767801858,-0.848503530025482,0.135268464684486,0,0,0
"2100000000009","더불어민주당",273,5,0,1,0.911451160907745,0.982078853046595,0.1894910633564,-0.00251261703670025,0,0,0
"2100000000010","더불어민주당",213,11,1,4,0.823074281215668,0.947598253275109,0.0756316035985947,0.569628894329071,0,0,0
"2100000000011","더불어민주당",270,12,3,3,0.881242692470551,0.947916666666667,0.0114879384636879,0.514575302600861,0,0,0
"2100000000012","더불어민주당",235,6,0,0,0.902633428573608,0.975103734439834,0.279547959566116,0.0610580071806908,0,0,0
"2100000000013","더불어민주당",216,5,0,0,0.919023513793945,0.97737556561086,0.296597212553024,0.25154772400856,0,0,0
"2100000000015","국민의힘",222,9,0,5,0.857575714588165,0.961864406779661,0.688598930835724,-0.627219438552856,0,0,0
"2100000000016","국민의힘",239,16,4,7,0.805730164051056,0.924812030075188,0.834620714187622,-0.106388792395592,0,0,0
"2100000000017","국민의힘",244,26,1,7,0.716917455196381,0.902877697841727,0.779923260211945,-0.177431628108025,0,0,0
"2100000000018","국민의힘",78,1,0,0,0.934259355068207,0.987341772151899,0.325356721878052,-0.0842597112059593,0,0,0
"2100000000019","국민의힘",146,32,0,0,0.6335608959198,0.820224719101124,0.278570204973221,0.960415899753571,0,0,0
"2100000000020","더불어민주당",210,22,4,15,0.75303190946579,0.896414342629482,-0.498875588178635,-0.393841117620468,0,0,0
"2100000000021","더불어민주당",204,0,0,0,0.963479042053223,1,0.328781127929688,0.0647361502051353,0,0,0
"2100000000022","더불어민주당",273,17,2,10,0.824266493320465,0.937086092715232,-0.288673609495163,-0.121529951691628,0,0,0
"2100000000023","더불어민주당",289,6,0,0,0.906279623508453,0.979661016949153,0.379565805196762,0.354694336652756,0,0,0
"2100000000024","더불어민주당",190,22,1,4,0.744283258914948,0.894009216589862,-0.349212765693665,-0.277750670909882,0,0,0
"2100000000025","더불어민주당",241,11,0,1,0.873864054679871,0.956521739130435,0.0947636887431145,-0.165435656905174,0,0,0
"2100000000026","국민의힘",158,2,0,6,0.870950222015381,0.987951807228916,0.661332964897156,-0.507720291614532,0,0,0
"2100000000027","무소속",177,17,1,3,0.787813186645508,0.909090909090909,-0.320494949817657,-0.225366562604904,0,0,0
"2100000000028","국민의힘",327,5,0,0,0.926987528800964,0.984939759036145,0.361577242612839,-0.0616694949567318,0,0,0
"2100000000029","더불어민주당",211,10,1,10,0.877887070178986,0.952586206896552,-0.293831318616867,0.45135697722435,0,0,0
"2100000000030","국민의힘",201,42,0,6,0.613684177398682,0.831325301204819,0.777881860733032,-0.628410577774048,0,0,0
"2100000000031","더불어민주당",279,29,4,13,0.75652289390564,0.898461538461538,-0.400914639234543,0.0386204943060875,0,0,0
"2100000000032","더불어민주당",152,7,0,0,0.845871925354004,0.955974842767296,0.338535517454147,0.358339726924896,0,0,0
"2100000000033","더불어민주당",312,4,0,0,0.934712529182434,0.987341772151899,0.2851223051548,0.0601338669657707,0,0,0
"2100000000034","더불어민주당",144,4,0,1,0.889835000038147,0.973154362416107,0.0585333928465843,0.0444337651133537,0,0,0
"2100000000035","더불어민주당",314,4,0,0,0.927706301212311,0.987421383647799,0.299898624420166,0.111445292830467,0,0,0
"2100000000036","국민의힘",220,6,0,0,0.897638916969299,0.973451327433628,0.485645532608032,0.0383941419422626,0,0,0
"2100000000037","더불어민주당",238,2,0,0,0.946483790874481,0.991666666666667,0.272480487823486,-0.00740080932155252,0,0,0
"2100000000038","국민의힘",264,3,0,0,0.927390158176422,0.98876404494382,0.469907909631729,-0.0396378599107265,0,0,0
"2100000000039","더불어민주당",281,14,1,5,0.850751578807831,0.950166112956811,-0.172591656446457,0.0390779785811901,0,0,0
"2100000000040","국민의힘",161,3,0,0,0.903464317321777,0.981707317073171,0.4876808822155,-0.067630797624588,0,0,0
"2100000000041","국민의힘",101,6,2,5,0.791780889034271,0.929824561403509,0.8902587890625,0.0765421837568283,0,0,0
"2100000000042","국민의힘",271,3,0,0,0.931294620037079,0.989051094890511,0.383248925209045,0.149189740419388,0,0,0
"2100000000043","더불어민주당",261,13,0,12,0.861477971076965,0.954545454545455,-0.271095603704453,0.456712633371353,0,0,0
"2100000000044","더불어민주당",239,3,0,0,0.945025503635406,0.987603305785124,0.257220238447189,0.0740339607000351,0,0,0
"2100000000045","더불어민주당",301,7,1,0,0.902997672557831,0.97411003236246,0.145310893654823,0.0543553084135056,0,0,0
"2100000000046","더불어민주당",272,0,0,0,0.963490784168243,1,0.30798077583313,0.0352014116942883,0,0,0
"2100000000047","국민의힘",185,26,0,13,0.672228872776031,0.883928571428571,0.889402091503143,-0.0971421897411346,0,0,0
"2100000000048","더불어민주당",213,22,1,3,0.750158250331879,0.903765690376569,-0.272625476121902,-0.53173965215683,0,0,0
"2100000000049","더불어민주당",281,4,0,0,0.930725455284119,0.985964912280702,0.283372908830643,0.338453978300095,0,0,0
"2100000000050","국민의힘",206,10,2,4,0.839817106723785,0.945945945945946,0.70433098077774,-0.249539613723755,0,0,0
"2100000000051","더불어민주당",302,5,0,0,0.934412062168121,0.98371335504886,0.209442660212517,0.208918318152428,0,0,0
"2100000000052","더불어민주당",307,5,1,0,0.917070090770721,0.980830670926518,0.203502848744392,-0.0394162498414516,0,0,0
"2100000000053","더불어민주당",314,14,1,6,0.861845135688782,0.955223880597015,-0.121266447007656,0.124779969453812,0,0,0
"2100000000054","국민의힘",272,15,0,0,0.824108362197876,0.947735191637631,0.135589212179184,-0.705120146274567,0,0,0
"2100000000055","더불어민주당",220,27,4,7,0.734480261802673,0.87984496124031,-0.307341903448105,-0.632731914520264,0,0,0
"2100000000056","국민의힘",230,4,0,0,0.908844530582428,0.982905982905983,0.361932903528214,0.131132334470749,0,0,0
"2100000000057","국민의힘",212,53,0,2,0.58202862739563,0.801498127340824,0.747919380664825,-0.663789629936218,0,0,0
"2100000000058","더불어민주당",214,24,5,10,0.764457523822784,0.885375494071146,-0.390146523714066,-0.523155748844147,0,0,0
"2100000000059","더불어민주당",172,6,0,3,0.871672868728638,0.966850828729282,-0.0840598866343498,-0.0632975473999977,0,0,0
"2100000000061","국민의힘",239,4,1,5,0.895964860916138,0.979919678714859,0.614723980426788,-0.2889404296875,0,0,0
"2100000000062","더불어민주당",229,3,0,0,0.939982533454895,0.987068965517241,0.240575298666954,0.085141584277153,0,0,0
"2100000000063","무소속",155,5,0,5,0.867648720741272,0.96969696969697,0.0678372830152512,-0.57286274433136,0,0,0
"2100000000064","더불어민주당",308,17,0,1,0.822664320468903,0.947852760736196,0.112128205597401,-0.036472387611866,0,0,0
"2100000000066","무소속",148,0,0,0,0.960513293743134,1,0.270765215158463,-0.0423611029982567,0,0,0
"2100000000067","더불어민주당",244,24,2,2,0.757229447364807,0.904411764705882,-0.214021980762482,-0.333599865436554,0,0,0
"2100000000068","더불어민주당",228,3,0,1,0.945670008659363,0.987068965517241,0.193483710289001,-0.017346229404211,0,0,0
"2100000000069","국민의힘",75,1,0,0,0.94581413269043,0.986842105263158,0.403506934642792,-0.0736053511500359,0,0,0
"2100000000071","더불어민주당",233,13,0,0,0.865086793899536,0.947154471544715,0.0673924759030342,-0.48407194018364,0,0,0
"2100000000072","국민의힘",216,2,0,0,0.939249575138092,0.990825688073395,0.366359353065491,-0.0215179845690727,0,0,0
"2100000000073","더불어민주당",203,9,2,16,0.839802265167236,0.952173913043478,-0.406687825918198,-0.525029182434082,0,0,0
"2100000000074","더불어민주당",292,2,0,0,0.942148625850677,0.993197278911565,0.396081328392029,0.0641374737024307,0,0,0
"2100000000075","국민의힘",240,3,0,0,0.938509285449982,0.987654320987654,0.479481995105743,-0.209419816732407,0,0,0
"2100000000076","국민의힘",174,1,0,1,0.944754242897034,0.994318181818182,0.240180402994156,-0.129838764667511,0,0,0
"2100000000077","더불어민주당",251,12,3,13,0.860771238803864,0.946236559139785,-0.28035706281662,0.549651801586151,0,0,0
"2100000000078","더불어민주당",292,7,1,3,0.912602424621582,0.973597359735974,-0.00241113337688148,0.368678569793701,0,0,0
"2100000000079","더불어민주당",235,10,1,4,0.875272691249847,0.956,0.046039491891861,0.469069063663483,0,0,0
"2100000000080","국민의힘",272,6,0,0,0.919941484928131,0.97841726618705,0.514344573020935,0.249560803174973,0,0,0
"2100000000081","정의당",220,21,3,40,0.758922755718231,0.915492957746479,-0.804499328136444,0.123724564909935,0,0,0
"2100000000082","더불어민주당",227,2,0,0,0.951347887516022,0.991266375545852,0.306605845689774,0.120346873998642,0,0,0
"2100000000083","더불어민주당",161,19,3,4,0.733357012271881,0.882352941176471,-0.386020004749298,-0.247532069683075,0,0,0
"2100000000084","더불어민주당",200,15,2,2,0.808470666408539,0.922374429223744,-0.136754781007767,-0.262321650981903,0,0,0
"2100000000085","더불어민주당",282,11,0,4,0.894954025745392,0.962962962962963,-0.0623045116662979,0.145657673478127,0,0,0
"2100000000086","더불어민주당",198,54,14,48,0.56691175699234,0.78343949044586,-0.853029310703278,-0.324207484722137,0,0,0
"2100000000087","더불어민주당",248,13,0,3,0.85450005531311,0.950757575757576,-0.0419695340096951,-0.0052613839507103,0,0,0
"2100000000088","더불어민주당",224,4,0,0,0.940886855125427,0.982456140350877,0.213343128561974,0.183990731835365,0,0,0
"2100000000089","국민의힘",274,1,1,4,0.934430837631226,0.992857142857143,0.542458295822144,-0.313971966505051,0,0,0
"2100000000090","국민의힘",146,16,1,1,0.764650940895081,0.896341463414634,0.916781723499298,-0.175582587718964,0,0,0
"2100000000091","국민의힘",187,2,0,0,0.93411922454834,0.989417989417989,0.349865585565567,0.0371324792504311,0,0,0
"2100000000092","더불어민주당",197,6,1,2,0.911541342735291,0.966019417475728,0.0666961893439293,0.52806955575943,0,0,0
"2100000000093","더불어민주당",237,10,0,1,0.885641813278198,0.959677419354839,0.183647274971008,-0.407956421375275,0,0,0
"2100000000094","더불어민주당",236,18,6,8,0.767996847629547,0.91044776119403,-0.250053822994232,0.658267378807068,0,0,0
"2100000000095","국민의힘",119,8,0,7,0.825989127159119,0.940298507462687,0.752767324447632,-0.658286690711975,0,0,0
"2100000000096","더불어민주당",309,2,0,0,0.936655700206757,0.993569131832797,0.296716153621674,-0.0831228941679001,0,0,0
"2100000000097","국민의힘",157,34,0,14,0.578680694103241,0.834146341463415,0.846217691898346,-0.532837450504303,0,0,0
"2100000000098","국민의힘",242,25,2,17,0.755347609519958,0.905594405594406,0.96002608537674,-0.26955857872963,0,0,0
"2100000000099","더불어민주당",215,11,1,5,0.854572057723999,0.948275862068966,-0.131545230746269,0.150484845042229,0,0,0
"2100000000101","무소속",121,5,0,12,0.836819112300873,0.963768115942029,-0.391381978988647,-0.503713011741638,0,0,0
"2100000000102","더불어민주당",222,5,1,5,0.918974161148071,0.974248927038627,-0.065993994474411,0.404516965150833,0,0,0
"2100000000103","더불어민주당",216,2,0,0,0.959412574768066,0.990825688073395,0.255416214466095,-0.00989300198853016,0,0,0
"2100000000104","더불어민주당",277,8,0,0,0.891191780567169,0.971929824561404,0.159369468688965,0.0564011037349701,0,0,0
"2100000000105","더불어민주당",139,5,3,4,0.845703959465027,0.947019867549669,-0.0410311222076416,0.526645004749298,0,0,0
"2100000000106","국민의힘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2100000000107","더불어민주당",202,7,0,2,0.896551072597504,0.966824644549763,0.0313913412392139,0.208892673254013,0,0,0
"2100000000108","국민의힘",283,5,0,0,0.921573042869568,0.982638888888889,0.52683299779892,0.0473173707723618,0,0,0
"2100000000109","더불어민주당",320,7,0,1,0.925574421882629,0.978658536585366,0.178941547870636,0.0181933138519526,0,0,0
"2100000000110","국민의힘",157,11,1,6,0.789273738861084,0.931428571428571,0.802631497383118,-0.175225496292114,0,0,0
"2100000000111","정의당",239,18,5,35,0.776973783969879,0.922558922558923,-0.743325769901276,0.226084619760513,0,0,0
"2100000000112","국민의힘",144,6,0,1,0.86367279291153,0.960264900662252,0.571968913078308,0.483111083507538,0,0,0
"2100000000113","국민의힘",313,2,0,0,0.946433663368225,0.993650793650794,0.359002202749252,0.0677284747362137,0,0,0
"2100000000114","더불어민주당",192,8,1,8,0.843397796154022,0.956937799043062,-0.112555988132954,-0.675020456314087,0,0,0
"2100000000115","더불어민주당",186,7,0,0,0.883855640888214,0.963730569948187,0.417522102594376,0.134058117866516,0,0,0
"2100000000116","더불어민주당",212,33,6,19,0.707666873931885,0.855555555555556,-0.674932956695557,-0.513594031333923,0,0,0
"2100000000117","국민의힘",311,6,0,0,0.910739958286285,0.981072555205047,0.437789469957352,0.0789581313729286,0,0,0
"2100000000118","국민의힘",286,24,1,4,0.779873430728912,0.920634920634921,0.747413039207458,0.422663569450378,0,0,0
"2100000000119","더불어민주당",223,3,0,0,0.935997426509857,0.986725663716814,0.187430679798126,-0.141321748495102,0,0,0
"2100000000120","더불어민주당",247,2,0,0,0.945936262607574,0.991967871485944,0.274902284145355,-0.0190993826836348,0,0,0
"2100000000121","더불어민주당",317,8,0,1,0.921398639678955,0.975460122699387,0.13655611872673,0.149227291345596,0,0,0
"2100000000122","국민의힘",133,5,0,9,0.836438417434692,0.965986394557823,0.857794940471649,-0.187704995274544,0,0,0
"2100000000123","국민의힘",217,19,0,7,0.756257295608521,0.921810699588477,0.7223961353302,-0.691479444503784,0,0,0
"2100000000124","더불어민주당",245,6,0,3,0.927195131778717,0.976377952755906,0.00846174173057079,0.144674897193909,0,0,0
"2100000000125","국민의힘",207,6,0,0,0.892950713634491,0.971830985915493,0.561924457550049,0.121521838009357,0,0,0
"2100000000126","더불어민주당",324,3,0,0,0.939665019512177,0.990825688073395,0.360146909952164,0.0490439124405384,0,0,0
"2100000000127","더불어민주당",226,9,2,5,0.898237586021423,0.954545454545455,-0.202023342251778,0.240972265601158,0,0,0
"2100000000128","더불어민주당",124,1,0,1,0.96017587184906,0.992063492063492,0.110166177153587,0.0157420877367258,0,0,0
"2100000000129","더불어민주당",218,6,0,0,0.910887956619263,0.973214285714286,0.303619980812073,0.401646196842194,0,0,0
"2100000000130","국민의힘",248,9,0,0,0.892818212509155,0.964980544747082,0.624785482883453,0.018929447978735,0,0,0
"2100000000131","국민의힘",216,5,0,0,0.904280722141266,0.97737556561086,0.540560841560364,-0.0397480651736259,0,0,0
"2100000000133","더불어민주당",198,7,0,6,0.89137077331543,0.966824644549763,-0.173052370548248,0.118676714599133,0,0,0
"2100000000134","더불어민주당",213,3,0,1,0.92765861749649,0.986175115207373,0.254986971616745,-0.0469153523445129,0,0,0
"2100000000135","더불어민주당",267,28,3,7,0.768956422805786,0.898360655737705,-0.32247257232666,-0.405007183551788,0,0,0
"2100000000136","더불어민주당",245,11,1,1,0.870711088180542,0.953488372093023,0.101671330630779,0.273269683122635,0,0,0
"2100000000137","국민의힘",159,3,0,0,0.917232394218445,0.981481481481482,0.45181867480278,-0.00847270153462887,0,0,0
"2100000000138","더불어민주당",216,8,0,2,0.891319274902344,0.964601769911504,-0.0200400371104479,0.0812300220131874,0,0,0
"2100000000139","더불어민주당",239,5,0,0,0.922926425933838,0.979508196721312,0.226396903395653,-0.110371395945549,0,0,0
"2100000000140","정의당",185,13,5,46,0.751669883728027,0.927710843373494,-0.826437175273895,0.315255582332611,0,0,0
