,HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD,VOTE_DATE,BILL_NO,BILL_NAME,BILL_ID,LAW_TITLE,CURR_COMMITTEE,RESULT_VOTE_MOD,DEPT_CD,CURR_COMMITTEE_ID,DISP_ORDER,BILL_URL,BILL_NAME_URL,SESSION_CD,CURRENTS_CD,AGE,MONA_CD
0,안철수,安哲秀,국민의힘,경기 성남시분당구갑,2100000000310,101210,080011,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771298,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,YOG1280B
1,김한규,金翰奎,더불어민주당,제주 제주시을,2100000000314,101182,170012,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771296,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,NUB4941Z
2,장동혁,張東赫,국민의힘,충남 보령시서천군,2100000000313,101210,120007,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771301,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,KFM1081G
3,우신구,禹信九,국민의힘,비례대표,2100000000318,101210,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,불참,9771305,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,F0I5053J
4,이용우,李龍雨,더불어민주당,경기 고양시정,2100000000204,101182,080190,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771184,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,G7512472
5,권인숙,權仁淑,더불어민주당,비례대표,2100000000020,101182,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771259,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,3TO11703
6,유상범,劉相凡,국민의힘,강원 홍천군횡성군영월군평창군,2100000000163,101210,210035,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771199,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,MU69217P
7,허은아,許垠娥,국민의힘,비례대표,2100000000288,101210,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771256,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,66W6739S
8,정동만,鄭東萬,국민의힘,부산 기장군,2100000000240,101210,020053,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771140,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,DAY6557K
9,정경희,丁慶姬,국민의힘,비례대표,2100000000239,101210,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771245,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,USR7059P
10,강민정,姜旼姃,더불어민주당,비례대표,2100000000005,101182,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771283,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,P2N50879
